tc_id;api;temp;rep;duration;file_size;killed;all;score
S00;human;0;rep;660;2178;13;15;0.8666666666666667
S01;human;0;rep;600;1091;3;7;0.42857142857142855
M00;human;0;rep;500;1280;5;36;0.1388888888888889
M01;human;0;rep;870;1592;16;22;0.7272727272727273
S00;copilot;0;rep;210;765;12;15;0.8
S01;copilot;0;rep1;340;1086;5;7;0.7142857142857143
M00;copilot;0;rep1;186;1436;7;36;0.19444444444444445
M01;copilot;0;rep;125;1768;18;22;0.8181818181818182
S00;human;1;rep;660;2178;13;15;0.8666666666666667
S01;human;1;rep;600;1091;3;7;0.42857142857142855
M00;human;1;rep;500;1280;5;36;0.1388888888888889
M01;human;1;rep;870;1592;16;22;0.7272727272727273
S00;copilot;1;rep;210;765;12;15;0.8
S01;copilot;1;rep1;340;1086;5;7;0.7142857142857143
M00;copilot;1;rep1;186;1436;7;36;0.19444444444444445
M01;copilot;1;rep;125;1768;18;22;0.8181818181818182
